Data Entrada,Data Saída,Retorno (%),Lucro (R$)
2021-08-18,2021-08-23,0.8585468930785156,0.8585468930785156
2021-08-19,2021-08-24,3.5285314632333753,3.558825560482263
2021-08-20,2021-08-25,4.248084648298844,4.435738369356741
2021-08-23,2021-08-26,1.7394284283916317,1.8934219548424753
2021-08-24,2021-08-27,3.299501351550327,3.654083345797317
2021-08-25,2021-08-30,2.0555342191883375,2.3515438113820113
2021-08-26,2021-08-31,-1.0912922736018849,-1.2741073006333083
2021-08-27,2021-09-01,-5.089527277023064,-5.877286987798057
2021-08-30,2021-09-02,-6.007033793524597,-6.58375503034743
2021-08-31,2021-09-03,-3.162940177001139,-3.25836641792407
2021-09-01,2021-09-06,-2.1449405634546004,-2.1397636249603234
2021-09-02,2021-09-08,-6.1278339289604355,-5.981922884840583
2021-09-03,2021-09-09,-3.1523075577544413,-2.8886787429087937
2021-09-06,2021-09-10,-4.232818186613219,-3.756553291512487
2021-09-08,2021-09-13,5.046056209029626,4.288730249525813
2021-09-09,2021-09-14,1.4902021293984768,1.3304592550112224
2021-09-10,2021-09-15,3.9068653099441075,3.540046411352328
2021-09-13,2021-09-16,-0.4956213987457714,-0.46663231266535005
2021-09-14,2021-09-17,-3.6707718279045065,-3.438937965536002
2021-09-15,2021-09-20,-6.380576544391059,-5.758176269152287
2021-09-16,2021-09-21,-3.4099686083063796,-2.8809875103012663
2021-09-17,2021-09-22,3.690311370257371,3.0115238927226136
2021-09-20,2021-09-23,8.884419180052205,7.517795735552167
2021-09-21,2021-09-24,6.703692335831279,6.176483612235489
2021-09-22,2021-09-27,4.9903446010283625,4.906109118831652
2021-09-23,2021-09-28,0.447088241579241,0.461476166542696
2021-09-24,2021-09-29,1.8215801322149616,1.8886072869073938
2021-09-27,2021-09-30,0.3316047337238226,0.35006922585397166
2021-09-28,2021-10-01,3.857551433936157,4.085852613097732
2021-09-29,2021-10-04,5.111332109837874,5.622677193919811
2021-09-30,2021-10-05,8.042603023526219,9.299406310964738
2021-10-01,2021-10-06,2.285721022926235,2.855465071833422
2021-10-04,2021-10-07,-0.6599540142789961,-0.843300417355511
2021-10-05,2021-10-08,-1.0197290727150587,-1.2944277011556409
2021-10-06,2021-10-11,2.3743126178436436,2.9831805293270066
2021-10-07,2021-10-13,3.60141163451706,4.632393006648329
2021-10-08,2021-10-14,1.9230930524644752,2.5627049392970322
2021-10-11,2021-10-15,0.9549736042124835,1.2970665797799017
2021-10-13,2021-10-18,-0.6074847666842742,-0.8329789245467865
2021-10-14,2021-10-19,-5.626693959313512,-7.66841479609941
2021-10-15,2021-10-20,-3.7162179622898805,-4.77972213266445
2021-10-18,2021-10-21,-6.791188837624373,-8.410085663598998
2021-10-19,2021-10-22,-2.963227285362502,-3.4203972256172643
2021-10-20,2021-10-25,1.8947413624079257,2.122256447113946
2021-10-21,2021-10-26,4.772320616687886,5.4466480109058475
2021-10-22,2021-10-27,5.555567075980794,6.643159130887161
2021-10-25,2021-10-28,-0.2754909539373407,-0.34772406364762265
2021-10-26,2021-10-29,-5.5980557747835835,-7.046387645594195
2021-10-27,2021-11-01,-2.405031081757414,-2.8577941478406457
2021-10-28,2021-11-03,-7.285905624278744,-8.449309538391343
2021-10-29,2021-11-04,-4.235735432341048,-4.554201747691293
2021-11-01,2021-11-05,-7.678570247505312,-7.90619058813724
2021-11-03,2021-11-08,-2.71880574027078,-2.584446922534077
2021-11-04,2021-11-09,2.461545735147519,2.276282932202664
2021-11-05,2021-11-10,2.2437342695490026,2.125938305704408
2021-11-08,2021-11-11,1.263409500966861,1.223939856739866
2021-11-09,2021-11-12,1.3138158711326842,1.2888518188112699
2021-11-10,2021-11-16,3.1781867117163243,3.1587595300424716
2021-11-11,2021-11-17,0.4914584076191497,0.5039782776908778
2021-11-12,2021-11-18,-1.6672682885597423,-1.718144506730673
2021-11-16,2021-11-19,-4.290419915448829,-4.347625246209823
2021-11-17,2021-11-22,-0.8276562351849925,-0.8027082085005154
2021-11-18,2021-11-23,4.747541256817156,4.566327304604498
2021-11-19,2021-11-24,8.697320296770638,8.762491138464435
2021-11-22,2021-11-25,12.367222624913431,13.543569599597076
2021-11-23,2021-11-26,2.410052880170177,2.9656997701955423
2021-11-24,2021-11-29,3.8773369439455196,4.886261947926128
2021-11-25,2021-11-30,-0.6414699886499342,-0.8397313207879019
2021-11-26,2021-12-01,3.9691054858040697,5.162520725906686
2021-11-29,2021-12-02,8.104857038174917,10.960208935605491
2021-11-30,2021-12-03,9.778614561526776,14.29539004405896
2021-12-01,2021-12-06,9.641491376289203,15.473217989272488
2021-12-02,2021-12-07,3.526087741834605,6.204466958303034
2021-12-03,2021-12-08,2.051444832970528,3.736981999920239
2021-12-06,2021-12-09,1.3845766683837857,2.57393354714572
2021-12-07,2021-12-10,0.9877410416086585,1.8616383327262727
2021-12-08,2021-12-13,0.4088824750035691,0.7782504274215037
2021-12-09,2021-12-14,-0.580422337270925,-1.1092696285589012
2021-12-10,2021-12-15,-1.1804487758526827,-2.242911122876685
2021-12-13,2021-12-16,0.7465207064824009,1.4016825095926064
2021-12-14,2021-12-17,-0.44642384642251676,-0.8444719673064972
2021-12-15,2021-12-20,-3.890763280921028,-7.327056261839561
2021-12-16,2021-12-21,-5.01853699863577,-9.083160248582077
2021-12-17,2021-12-22,-2.8630397348493597,-4.921823960100702
2021-12-20,2021-12-23,0.6036709977366161,1.0080533588137996
2021-12-21,2021-12-27,1.9503475646750257,3.2764915345188017
2021-12-22,2021-12-28,2.2017094806067394,3.7709064727991772
